ticker,timestamp,last_processing_date,total_score,environment_score,social_score,governance_score
MMM,2014-09-01,2025-03-14,73.0,73.0,74.0,73.0
MMM,2014-10-01,2025-03-14,72.0,72.0,74.0,73.0
MMM,2014-11-01,2025-03-14,73.0,73.0,74.0,73.0
MMM,2014-12-01,2025-03-14,73.0,73.0,74.0,73.0
MMM,2015-01-01,2025-03-14,74.0,70.0,76.0,78.0
MMM,2015-02-01,2025-03-14,74.0,70.0,76.0,78.0
MMM,2015-03-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-04-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-05-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-06-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-07-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-08-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-09-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-10-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-11-01,2025-03-14,74.0,71.0,75.0,78.0
MMM,2015-12-01,2025-03-14,75.0,75.0,71.0,79.0
MMM,2016-01-01,2025-03-14,74.69,75.37,71.09,78.65
MMM,2016-02-01,2025-03-14,74.12,75.37,69.46,78.65
MMM,2016-03-01,2025-03-14,74.12,75.37,69.46,78.65
MMM,2016-04-01,2025-03-14,72.02,71.37,68.14,78.49
MMM,2016-05-01,2025-03-14,72.02,71.37,68.14,78.49
MMM,2016-06-01,2025-03-14,72.02,71.37,68.14,78.49
MMM,2016-07-01,2025-03-14,68.94,63.66,68.14,78.49
MMM,2016-08-01,2025-03-14,68.54,62.66,68.14,78.49
MMM,2016-09-01,2025-03-14,68.54,62.66,68.14,78.49
MMM,2016-10-01,2025-03-14,68.54,62.66,68.14,78.49
MMM,2016-11-01,2025-03-14,67.78,62.66,68.14,75.45
MMM,2016-12-01,2025-03-14,67.78,62.66,68.14,75.45
MMM,2017-01-01,2025-03-14,67.71,62.49,68.15,75.45
MMM,2017-02-01,2025-03-14,67.71,62.49,68.15,75.45
MMM,2017-03-01,2025-03-14,67.71,62.49,68.15,75.45
MMM,2017-04-01,2025-03-14,66.42,54.44,73.07,76.25
MMM,2017-05-01,2025-03-14,65.66,54.78,70.51,76.25
MMM,2017-06-01,2025-03-14,65.66,54.78,70.51,76.25
MMM,2017-07-01,2025-03-14,65.66,54.78,70.51,76.25
MMM,2017-08-01,2025-03-14,65.66,54.78,70.51,76.25
MMM,2017-09-01,2025-03-14,65.66,54.78,70.51,76.25
MMM,2017-10-01,2025-03-14,64.21,53.37,70.46,72.75
MMM,2017-11-01,2025-03-14,64.21,53.37,70.46,72.75
MMM,2017-12-01,2025-03-14,64.21,53.37,70.46,72.75
MMM,2018-01-01,2025-03-14,64.21,53.37,70.46,72.75
MMM,2018-02-01,2025-03-14,64.21,53.37,70.46,72.75
MMM,2018-03-01,2025-03-14,63.81,53.37,69.32,72.75
MMM,2018-04-01,2025-03-14,65.84,58.92,69.51,71.75
MMM,2018-05-01,2025-03-14,65.84,58.92,69.51,71.75
MMM,2018-06-01,2025-03-14,65.84,58.92,69.51,71.75
MMM,2018-07-01,2025-03-14,65.84,58.92,69.51,71.75
MMM,2018-08-01,2025-03-14,65.84,58.92,69.51,71.75
MMM,2018-09-01,2025-03-14,65.84,58.92,69.51,71.75
MMM,2018-10-01,2025-03-14,65.84,58.92,69.51,71.75
MMM,2018-11-01,2025-03-14,64.97,58.92,67.88,70.55
MMM,2018-12-01,2025-03-14,65.12,58.92,67.88,71.15
MMM,2019-01-01,2025-03-14,65.12,58.92,67.88,71.15
MMM,2019-02-01,2025-03-14,64.14,60.89,62.86,71.15
MMM,2019-03-01,2025-03-14,64.14,60.89,62.86,71.15
MMM,2019-04-01,2025-03-14,64.54,61.89,62.86,71.15
MMM,2019-05-01,2025-03-14,64.54,61.89,62.86,71.15
MMM,2019-06-01,2025-03-14,64.24,61.89,62.86,69.95
MMM,2019-07-01,2025-03-14,64.24,61.89,62.86,69.95
MMM,2019-08-01,2025-03-14,64.24,61.89,62.86,69.95
MMM,2019-09-01,2025-03-14,64.24,61.89,62.86,69.95
MMM,2019-10-01,2025-03-14,64.24,61.89,62.86,69.95
MMM,2019-11-01,2025-03-14,64.24,61.89,62.86,69.95
MMM,2019-12-01,2025-03-14,34.53,12.6,12.7,9.23
MMM,2020-01-01,2025-03-14,34.53,12.6,12.7,9.23
MMM,2020-02-01,2025-03-14,34.53,12.6,12.7,9.23
MMM,2020-03-01,2025-03-14,33.54,12.6,12.55,8.39
MMM,2020-04-01,2025-03-14,,,,
MMM,2020-05-01,2025-03-14,,,,
MMM,2020-06-01,2025-03-14,,,,
MMM,2020-07-01,2025-03-14,34.75,12.79,13.89,8.07
MMM,2020-08-01,2025-03-14,34.75,12.79,13.89,8.07
MMM,2020-09-01,2025-03-14,,,,
MMM,2020-10-01,2025-03-14,34.86,12.79,14.0,8.07
MMM,2020-11-01,2025-03-14,,,,
MMM,2020-12-01,2025-03-14,,,,
MMM,2021-01-01,2025-03-14,34.86,12.79,14.0,8.07
MMM,2021-02-01,2025-03-14,35.24,12.79,14.0,8.45
MMM,2021-03-01,2025-03-14,35.24,12.79,14.0,8.45
MMM,2021-04-01,2025-03-14,,,,
MMM,2021-05-01,2025-03-14,34.88,13.2,13.6,8.08
MMM,2021-06-01,2025-03-14,,,,
MMM,2021-07-01,2025-03-14,,,,
MMM,2021-08-01,2025-03-14,,,,
MMM,2021-09-01,2025-03-14,34.88,13.2,13.6,8.08
MMM,2021-10-01,2025-03-14,,,,
MMM,2021-11-01,2025-03-14,,,,
MMM,2021-12-01,2025-03-14,,,,
MMM,2022-01-01,2025-03-14,,,,
MMM,2022-02-01,2025-03-14,34.88,13.2,13.6,8.08
MMM,2022-03-01,2025-03-14,,,,
MMM,2022-04-01,2025-03-14,,,,
MMM,2022-05-01,2025-03-14,33.61,12.33,13.56,7.72
MMM,2022-06-01,2025-03-14,,,,
MMM,2022-07-01,2025-03-14,,,,
MMM,2022-08-01,2025-03-14,33.61,12.33,13.56,7.72
MMM,2022-09-01,2025-03-14,,,,
MMM,2022-10-01,2025-03-14,,,,
MMM,2022-11-01,2025-03-14,,,,
MMM,2022-12-01,2025-03-14,,,,
MMM,2023-01-01,2025-03-14,,,,
MMM,2023-02-01,2025-03-14,,,,
MMM,2023-03-01,2025-03-14,,,,
MMM,2023-04-01,2025-03-14,,,,
MMM,2023-05-01,2025-03-14,,,,
MMM,2023-06-01,2025-03-14,,,,
MMM,2023-07-01,2025-03-14,,,,
MMM,2023-08-01,2025-03-14,,,,
MMM,2023-09-01,2025-03-14,37.35,17.22,13.59,6.54
MMM,2023-10-01,2025-03-14,,,,
MMM,2023-11-01,2025-03-14,,,,
MMM,2023-12-01,2025-03-14,,,,
MMM,2024-01-01,2025-03-14,,,,
MMM,2024-02-01,2025-03-14,,,,
MMM,2024-03-01,2025-03-14,,,,
MMM,2024-04-01,2025-03-14,,,,
MMM,2024-05-01,2025-03-14,,,,
MMM,2024-06-01,2025-03-14,,,,
MMM,2024-07-01,2025-03-14,,,,
MMM,2024-08-01,2025-03-14,,,,
MMM,2024-09-01,2025-03-14,,,,
MMM,2024-10-01,2025-03-14,,,,
MMM,2024-11-01,2025-03-14,40.71,17.19,16.69,6.84
MMM,2024-12-01,2025-03-14,42.86,19.53,16.82,6.51
MMM,2025-01-01,2025-03-14,42.86,19.53,16.82,6.51
MMM,2025-02-01,2025-03-14,42.86,19.53,16.82,6.51
MMM,2025-03-01,2025-03-14,42.86,19.53,16.82,6.51
ABT,2014-09-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2014-10-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2014-11-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2014-12-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2015-01-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2015-02-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2015-03-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2015-04-01,2025-03-14,64.0,71.0,57.0,69.0
ABT,2015-05-01,2025-03-14,63.0,71.0,57.0,66.0
ABT,2015-06-01,2025-03-14,64.0,71.0,57.0,67.0
ABT,2015-07-01,2025-03-14,64.0,71.0,57.0,67.0
ABT,2015-08-01,2025-03-14,64.0,71.0,57.0,67.0
ABT,2015-09-01,2025-03-14,64.0,71.0,57.0,67.0
ABT,2015-10-01,2025-03-14,64.0,71.0,57.0,67.0
ABT,2015-11-01,2025-03-14,64.0,71.0,57.0,67.0
ABT,2015-12-01,2025-03-14,63.0,74.0,56.0,66.0
ABT,2016-01-01,2025-03-14,63.45,73.9,56.16,65.66
ABT,2016-02-01,2025-03-14,63.45,73.9,56.16,65.66
ABT,2016-03-01,2025-03-14,63.45,73.9,56.16,65.66
ABT,2016-04-01,2025-03-14,60.69,73.9,50.03,65.67
ABT,2016-05-01,2025-03-14,60.69,73.9,50.03,65.67
ABT,2016-06-01,2025-03-14,60.69,73.9,50.03,65.67
ABT,2016-07-01,2025-03-14,60.56,73.4,50.03,65.67
ABT,2016-08-01,2025-03-14,61.36,73.4,51.81,65.67
ABT,2016-09-01,2025-03-14,61.32,73.4,51.81,65.53
ABT,2016-10-01,2025-03-14,61.32,73.4,51.81,65.53
ABT,2016-11-01,2025-03-14,61.32,73.4,51.81,65.53
ABT,2016-12-01,2025-03-14,61.32,73.4,51.81,65.53
ABT,2017-01-01,2025-03-14,67.74,76.6,62.07,68.86
ABT,2017-02-01,2025-03-14,67.74,76.6,62.07,68.86
ABT,2017-03-01,2025-03-14,67.74,76.6,62.07,68.86
ABT,2017-04-01,2025-03-14,67.74,76.6,62.07,68.86
ABT,2017-05-01,2025-03-14,67.86,77.1,62.07,68.86
ABT,2017-06-01,2025-03-14,67.06,77.1,60.29,68.86
ABT,2017-07-01,2025-03-14,67.86,77.1,62.07,68.86
ABT,2017-08-01,2025-03-14,67.06,77.1,60.29,68.86
ABT,2017-09-01,2025-03-14,67.06,77.1,60.29,68.86
